Label,IN/Out,Name,Coil,Part,Description
Y007C,Out,[LEFT IONIZER]Sensor - Alarm #1,,Unloader,
Y007D,Out,[RIGHT IONIZER]Sensor - Alarm #2,,Unloader,
Y007E,Out,[TABLE IONIZER]Sensor - Alarm #3(Table),,Unloader,
Y007F,Out,[DRY IONIZER]Sensor - Alarm #4(Out Rail),,Unloader,
Y0080,Out,TENKEY - 147C,,Unloader,
Y0081,Out,TENKEY - 2580,,Unloader,
Y0082,Out,TENKEY - 369S,,Unloader,
Y0083,Out,TENKEY - 123,,Unloader,
Y0084,Out,TENKEY - 456,,Unloader,
Y0085,Out,TENKEY - 789,,Unloader,
Y0086,Out,TENKEY - C0S,,Unloader,
Y0087,Out,[LEFT ADD PUMP]Sensor - Run,,Unloader,
Y0088,Out,[LEFT ADD PUMP]Sensor - Flow Low,,Unloader,
Y0089,Out,[LEFT ADD PUMP]Sensor - Temp. High,,Unloader,
Y008A,Out,[LEFT ADD PUMP]Sensor - Overload,,Unloader,
Y008B,Out,,,Unloader,
Y008C,Out,[RIGHT ADD PUMP]Sensor - Run,,Unloader,
Y008D,Out,[RIGHT ADD PUMP]Sensor - Flow Low,,Unloader,
Y008E,Out,[RIGHT ADD PUMP]Sensor - Temp. High,,Unloader,
Y008F,Out,[RIGHT ADD PUMP]Sensor - Overload,,Unloader,
EOF,,,,,
